pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim
0.267,0.02,-0.02,0,0.825,0.092,-0.063,0
0.599,0.099,-0.099,0,1.571,0.108,-0.081,0
0.671,0.033,-0.044,0,1.274,0.049,-0.06,0
0.48,0.13,-0.13,0,1.52,0.17,-0.17,0
1.19,0.6,-0.6,0,2.05,0.5,-0.5,0
1.044,0.083,-0.083,0,1.28,0.153,-0.153,0
0.662,0.06,-0.06,0,1.281,0.062,-0.033,0
0.352,0.029,-0.029,0,1.242,0.106,-0.051,0
4,1.4,-0.8,0,,,,
0.892,0.137,-0.099,0,1.426,0.175,-0.087,0
0.493,0.082,-0.052,0,1.284,0.271,-0.133,0
2.2,0.59,-0.59,0,1.59,0.18,-0.18,0
0.98,0.2,-0.2,0,1.21,0.1,-0.1,0
1.35,0.073,-0.073,0,1.288,0.064,-0.064,0
0.309,0.018,-0.018,0,1.293,0.054,-0.054,0
0.818,0.029,-0.029,0,1.009,0.072,-0.072,0
1.484,0.056,-0.056,0,1.318,0.091,-0.091,0
0.76,0.032,-0.032,0,0.944,0.028,-0.028,0
0.582,0.056,-0.056,0,1.182,0.055,-0.055,0
2.31,0.44,-0.44,0,1.51,0.11,-0.11,0
1.41,1.52,-1.52,0,1.74,0.36,-0.36,0
1.32,0.3,-0.3,0,1.48,0.15,-0.15,0
0.527,0.083,-0.083,0,1.89,0.13,-0.13,0
0.783,0.057,-0.057,0,1.59,0.16,-0.1,0
0.34,0.25,-0.19,0,2.085,0.096,-0.071,0
1.84,0.53,-0.53,0,1.51,0.21,-0.21,0
1.28,0.27,-0.27,0,1.4,0.13,-0.13,0
0.78,0.09,-0.09,0,1.4,0.06,-0.06,0
1.855,0.262,-0.196,0,1.302,0.162,-0.098,0
0.526,0.081,-0.081,0,0.969,0.061,-0.045,0
,,,0,1.609,0.064,-0.064,0
,,,0,0.692,0.042,-0.042,0
0.543,0.072,-0.072,0,1.212,0.035,-0.035,0
1.071,0.07,-0.07,0,1.039,0.032,-0.022,0
2.17,0.15,-0.15,0,1.105,0.04,-0.04,0
3.27,0.19,-0.19,0,1.3,0.15,-0.15,0
1.338,0.065,-0.065,0,0.777,0.056,-0.056,0
1.98,0.077,-0.077,0,1.337,0.102,-0.049,0
1.345,0.15,-0.15,0,1.168,0.03,-0.03,0
2.74,0.11,-0.11,0,0.953,0.048,-0.029,0
1.47,0.072,-0.072,0,1.86,0.3,-0.4,0
2.44,0.18,-0.18,0,1.487,0.078,-0.054,0
0.613,0.042,-0.042,0,1.26,0.1,-0.1,0
0.65,0.076,-0.076,0,1.75,0.21,-0.21,0
0.53,0.13,-0.13,0,1.5,0.2,-0.11,0
0.672,0.087,-0.087,0,1.194,0.07,-0.07,0
0.653,0.063,-0.063,0,1.251,0.061,-0.061,0
1.071,0.136,-0.136,0,1.381,0.035,-0.035,0
0.706,0.039,-0.039,0,1.175,0.052,-0.052,0
0.88,0.12,-0.12,0,1.64,0.22,-0.22,0
